===== Aggregate Results =====
  j2j         : 0.0318
  j2b         : 0.0242
  b2b         : 0.0205
  iou         : 0.7857
  precision   : 0.8460
  recall      : 0.8436

  Evaluated : 1994
  Skipped   : 3
  Avg infer : 5.47s/sample

Per-sample results saved to: outputs/infer_results_xl\results.csv

===== Per-Category Results =====
category_label                                          j2j         j2b         b2b         iou   precision      recall     n
miscellaneous                                      0.089061    0.069141    0.062184    0.383839    0.450344    0.458395    19
musical instrument                                 0.013760    0.009479    0.008139    0.884615    1.000000    1.000000     2
mythical creature                                  0.055139    0.043891    0.036845    0.583103    0.667450    0.665386    99
mythical creature, anatomy                         0.029785    0.026580    0.022887    0.733333    0.916667    0.785714     1
mythical creature, animal                          0.031218    0.026552    0.018770    0.806818    0.815789    0.906250     4
mythical creature, anthropomorphic                 0.035728    0.028800    0.023836    0.751520    0.812994    0.830901    82
mythical creature, character                       0.010582    0.006437    0.005983    1.000000    1.000000    1.000000     1
mythical creature, miscellaneous                   0.126953    0.094691    0.081019    0.100000    0.312500    0.333333     1
mythical creature, sculpture                       0.092865    0.081188    0.078199    0.342593    0.455882    0.324561     2
mythical creature, toy                             0.054977    0.045540    0.047132    0.540752    0.726902    0.682353     2
mythical creature, weapon                          0.025238    0.019651    0.018558    0.858757    0.938391    0.888176     5
mythical creature, weapon, anthropomorphic         0.016888    0.010684    0.011596    0.983871    1.000000    0.983871     2
paper                                              0.212891    0.160616    0.096792    0.000000    0.000000    0.000000     1
planet                                             0.081865    0.079159    0.058141    0.527778    0.562500    0.545455     2
plant                                              0.062057    0.028287    0.019366    0.429537    0.660527    0.579365    12
plant, mythical creature, anthropomorphic          0.077820    0.064600    0.056947    0.275000    0.692308    0.289474     1
plant, scanned data                                0.126709    0.104486    0.103182    0.050000    0.250000    0.058824     1
scanned data                                       0.046387    0.042381    0.027301    0.450000    0.500000    0.771429     1
scanned data, character                            0.007427    0.006236    0.005490    1.000000    1.000000    1.000000     1
sculpture                                          0.066581    0.044007    0.033592    0.500547    0.615714    0.538333     5
sculpture, anthropomorphic                         0.029480    0.022477    0.020807    0.769231    0.952381    0.800000     1
sculpture, miscellaneous                           0.042938    0.025773    0.027275    1.285714    0.700000    0.818182     1
