uuid,category,j2j,j2b,b2b,iou,precision,recall,infer_time,gt_joints,gt_bones,pred_joints,pred_bones
95d99e46-b554-5962-b4c3-fc225f89ba12,character,0.008544921875,0.0073263235243009334,0.006786119827964242,1.0,1.0,1.0,9.888279676437378,58,57,58,57
b093c4e3-263b-58ea-8cc0-e5dcf99ff0b1,character,0.0096282958984375,0.006638454067245857,0.006233468478463507,1.0,1.0,1.0,4.823315620422363,27,26,27,26
e5951373-cdc0-5fc9-b278-fc32bc9ad390,"character, anthropomorphic",0.00734710693359375,0.006731991903993963,0.0066336200233486665,1.0,1.0,1.0,9.75015139579773,52,51,52,51
408224bd-f971-5702-9896-d303fb0f7579,character,0.006031036376953125,0.004683613194748303,0.004861241891935779,1.0,1.0,1.0,5.529548406600952,34,33,34,33
28203f3d-8cd9-5e19-85e3-8113359df66d,character,0.00853729248046875,0.007065999399756259,0.006786107497789921,1.0,1.0,1.0,6.142497777938843,29,28,29,28
874f23a9-9b84-5062-ba79-bb05cc8d7fba,"animal, toy",0.029266357421875,0.02468662117243839,0.021840565085434537,0.8,0.9444444444444444,0.8888888888888888,2.756626844406128,18,17,18,17
17be5a38-ffe0-5aae-8792-c2be27fe273a,animal,0.0567626953125,0.0507056637011844,0.0395106328957265,0.2619047619047619,0.5675675675675675,0.6875,6.1778647899627686,16,15,37,36
f381c75f-00ac-5619-bdee-75325c063899,"character, anthropomorphic",0.0112457275390625,0.008876870918457985,0.007061606986240072,1.0,1.0,1.0,3.3797826766967773,22,21,22,21
838130df-fc40-52b7-88d2-8c94b6bb3c47,character,0.018707275390625,0.012208865120597611,0.010102955935292864,1.1764705882352942,1.0,1.0,6.1318981647491455,40,39,34,33
b75f323a-a4b4-562c-9f16-d2bb3f5b92eb,"mythical creature, anthropomorphic",0.017364501953125,0.010618886563698408,0.012229233285513853,0.9047619047619048,0.95,0.95,6.615212917327881,40,39,40,39
e5fe2bfd-df32-57be-8ed3-2ef289ecb9e4,character,0.00730133056640625,0.005474653693055782,0.004692663945013547,1.0,1.0,1.0,7.171732425689697,39,38,39,38
9bab439a-a611-5541-9d4a-b356b7555c7f,"character, anthropomorphic",0.0082244873046875,0.007129029026194487,0.006397253471274894,0.9629629629629629,1.0,1.0,4.410642385482788,26,25,27,26
41224cbb-e169-555c-bf15-41bbfd619cef,clothing,0.00980377197265625,0.007323772205322791,0.006273588273826517,1.0,1.0,1.0,3.0586905479431152,18,17,18,17
